method,discrete_status,continuous_status,changed,discrete_total_signals,continuous_total_signals,delta_total_signals,discrete_evaluated_days,continuous_evaluated_days,delta_evaluated_days,discrete_elapsed_seconds,continuous_elapsed_seconds,delta_elapsed_seconds,discrete_trade_signals,continuous_trade_signals,delta_trade_signals,discrete_trade_rate,continuous_trade_rate,delta_trade_rate,discrete_target_hit_rate,continuous_target_hit_rate,delta_target_hit_rate,discrete_stop_loss_hit_rate,continuous_stop_loss_hit_rate,delta_stop_loss_hit_rate,discrete_avg_trade_strength,continuous_avg_trade_strength,delta_avg_trade_strength,discrete_avg_composite_score,continuous_avg_composite_score,delta_avg_composite_score,discrete_avg_direction_score,continuous_avg_direction_score,delta_avg_direction_score,discrete_avg_tradeability_score,continuous_avg_tradeability_score,delta_avg_tradeability_score,discrete_correct_1d,continuous_correct_1d,delta_correct_1d,discrete_correct_expiry,continuous_correct_expiry,delta_correct_expiry,discrete_avg_mfe_bps,continuous_avg_mfe_bps,delta_avg_mfe_bps,discrete_avg_mae_bps,continuous_avg_mae_bps,delta_avg_mae_bps
blended,SUCCESS,SUCCESS,True,7554,7554,0.0,2518,2518,0.0,1266.64,1121.0,-145.6400000000001,4071,4000,-71.0,0.5389,0.5295,-0.009400000000000075,0.4385,0.4375,-0.0010000000000000009,0.5154,0.5162,0.0008000000000000229,83.635,81.023,-2.612000000000009,58.0554,57.9488,-0.10660000000000025,40.9271,40.7729,-0.154200000000003,50.8903,50.5934,-0.29690000000000083,0.4908,0.4912,0.00040000000000001146,0.4579,0.4552,-0.00269999999999998,237.986,238.4118,0.4258000000000095,-259.9203,-262.1815,-2.2612000000000307
ev_sizing,SUCCESS,SUCCESS,True,7554,7554,0.0,2518,2518,0.0,1275.96,1542.7,266.74,3150,3012,-138.0,0.417,0.3987,-0.018299999999999983,0.4248,0.4233,-0.0015000000000000013,0.5317,0.5322,0.000500000000000056,83.0571,80.9542,-2.1029000000000053,58.8699,59.0435,0.17360000000000042,42.6426,42.7864,0.14379999999999882,50.8712,50.9134,0.042200000000001125,0.4858,0.4877,0.0019000000000000128,0.461,0.4625,0.0015000000000000013,250.5866,252.8881,2.3015000000000043,-273.7533,-275.6785,-1.9251999999999612
pure_ml,SUCCESS,SUCCESS,True,7554,7554,0.0,2518,2518,0.0,1179.13,1181.38,2.25,3408,3315,-93.0,0.4512,0.4388,-0.012399999999999967,0.4222,0.4202,-0.0020000000000000018,0.5285,0.5297,0.0011999999999999789,83.1447,80.5738,-2.5708999999999946,58.4419,58.484,0.04210000000000491,41.4324,41.3297,-0.10269999999999868,50.5407,50.5525,0.01180000000000092,0.4845,0.4852,0.0007000000000000339,0.4533,0.4543,0.0010000000000000009,248.9093,250.9279,2.018599999999992,-271.8366,-274.157,-2.3204000000000065
pure_rule,SUCCESS,SUCCESS,True,7554,7554,0.0,2518,2518,0.0,1193.38,1176.85,-16.5300000000002,3983,3905,-78.0,0.5273,0.5169,-0.010399999999999965,0.4379,0.4366,-0.0013000000000000234,0.5172,0.5183,0.0010999999999999899,82.532,79.6077,-2.9243000000000023,57.9565,57.8945,-0.06199999999999761,40.7364,40.648,-0.08840000000000003,50.7169,50.4403,-0.27660000000000196,0.4898,0.4883,-0.0015000000000000013,0.4562,0.453,-0.0031999999999999806,238.8702,239.4761,0.6058999999999912,-262.3233,-264.207,-1.8836999999999762
research_decision_policy,SUCCESS,SUCCESS,True,7554,7554,0.0,2518,2518,0.0,1225.7,1346.23,120.52999999999997,2602,2510,-92.0,0.3445,0.3323,-0.012199999999999989,0.4358,0.4327,-0.003100000000000047,0.5219,0.5239,0.0020000000000000018,85.9885,83.4538,-2.534700000000001,60.3814,60.5127,0.13130000000000308,44.9773,45.1222,0.1448999999999998,52.4079,52.4901,0.08220000000000027,0.5004,0.5022,0.0018000000000000238,0.4792,0.4805,0.0012999999999999678,261.4727,263.2631,1.7904000000000337,-274.6752,-276.2219,-1.546699999999987
research_dual_model,SUCCESS,SUCCESS,True,7554,7554,0.0,2518,2518,0.0,1279.57,1189.52,-90.04999999999995,3154,3015,-139.0,0.4175,0.3991,-0.018399999999999972,0.4245,0.4229,-0.0015999999999999903,0.532,0.5327,0.0006999999999999229,83.0441,80.9489,-2.0952000000000055,58.8577,59.0407,0.18299999999999983,42.5885,42.7439,0.1553999999999931,50.8662,50.9208,0.05460000000000065,0.4858,0.4875,0.0016999999999999793,0.461,0.4627,0.0016999999999999793,250.6767,252.8613,2.184599999999989,-274.3095,-275.6028,-1.293299999999988
research_rank_gate,SUCCESS,SUCCESS,True,7554,7554,0.0,2518,2518,0.0,1205.5,2404.6,1199.1,2335,2230,-105.0,0.3091,0.2952,-0.013899999999999968,0.4334,0.4305,-0.0029000000000000137,0.5328,0.5336,0.0007999999999999119,87.5349,85.0363,-2.498599999999996,60.7952,60.8606,0.0653999999999968,45.379,45.4848,0.10580000000000211,52.4539,52.3705,-0.08339999999999748,0.4957,0.4969,0.0012000000000000344,0.4805,0.4794,-0.0010999999999999899,265.6486,268.302,2.6534000000000333,-280.2113,-282.7472,-2.5359000000000265
research_uncertainty_adjusted,SUCCESS,SUCCESS,True,7554,7554,0.0,2518,2518,0.0,1149.14,1875.55,726.4099999999999,2148,2059,-89.0,0.2844,0.2726,-0.011799999999999977,0.4213,0.4182,-0.0030999999999999917,0.547,0.5483,0.0012999999999999678,88.6052,85.594,-3.0112000000000023,59.5613,59.6485,0.08719999999999573,43.4728,43.5596,0.08680000000000376,50.8527,51.1701,0.31739999999999924,0.482,0.4832,0.0012000000000000344,0.4688,0.4716,0.0028000000000000247,264.5743,266.6141,2.039800000000014,-288.3434,-290.3321,-1.9887000000000512
