scoring_mode,method,status,total_signals,evaluated_days,elapsed_seconds,trade_signals,trade_rate,target_hit_rate,stop_loss_hit_rate,avg_trade_strength,avg_composite_score,avg_direction_score,avg_tradeability_score,correct_1d,correct_expiry,avg_mfe_bps,avg_mae_bps
discrete,blended,SUCCESS,7554,2518,1266.64,4071,0.5389,0.4385,0.5154,83.635,58.0554,40.9271,50.8903,0.4908,0.4579,237.986,-259.9203
discrete,pure_rule,SUCCESS,7554,2518,1193.38,3983,0.5273,0.4379,0.5172,82.532,57.9565,40.7364,50.7169,0.4898,0.4562,238.8702,-262.3233
discrete,pure_ml,SUCCESS,7554,2518,1179.13,3408,0.4512,0.4222,0.5285,83.1447,58.4419,41.4324,50.5407,0.4845,0.4533,248.9093,-271.8366
discrete,research_dual_model,SUCCESS,7554,2518,1279.57,3154,0.4175,0.4245,0.532,83.0441,58.8577,42.5885,50.8662,0.4858,0.461,250.6767,-274.3095
discrete,research_decision_policy,SUCCESS,7554,2518,1225.7,2602,0.3445,0.4358,0.5219,85.9885,60.3814,44.9773,52.4079,0.5004,0.4792,261.4727,-274.6752
discrete,ev_sizing,SUCCESS,7554,2518,1275.96,3150,0.417,0.4248,0.5317,83.0571,58.8699,42.6426,50.8712,0.4858,0.461,250.5866,-273.7533
discrete,research_rank_gate,SUCCESS,7554,2518,1205.5,2335,0.3091,0.4334,0.5328,87.5349,60.7952,45.379,52.4539,0.4957,0.4805,265.6486,-280.2113
discrete,research_uncertainty_adjusted,SUCCESS,7554,2518,1149.14,2148,0.2844,0.4213,0.547,88.6052,59.5613,43.4728,50.8527,0.482,0.4688,264.5743,-288.3434
